GEO_ID,NAME,B992701_001E,B992701_002E,B992701_003E
1400000US06113010101,"Census Tract 101.01, Yolo County, California",6796,1152,5644
1400000US06113010102,"Census Tract 101.02, Yolo County, California",7729,906,6823
1400000US06113010201,"Census Tract 102.01, Yolo County, California",3549,377,3172
1400000US06113010203,"Census Tract 102.03, Yolo County, California",5264,953,4311
1400000US06113010204,"Census Tract 102.04, Yolo County, California",5189,810,4379
1400000US06113010302,"Census Tract 103.02, Yolo County, California",8696,874,7822
1400000US06113010310,"Census Tract 103.10, Yolo County, California",5688,886,4802
1400000US06113010312,"Census Tract 103.12, Yolo County, California",5607,935,4672
1400000US06113010401,"Census Tract 104.01, Yolo County, California",4771,816,3955
1400000US06113010402,"Census Tract 104.02, Yolo County, California",4540,899,3641
1400000US06113010501,"Census Tract 105.01, Yolo County, California",8581,1309,7272
1400000US06113010505,"Census Tract 105.05, Yolo County, California",5047,754,4293
1400000US06113010508,"Census Tract 105.08, Yolo County, California",2657,479,2178
1400000US06113010509,"Census Tract 105.09, Yolo County, California",3672,646,3026
1400000US06113010510,"Census Tract 105.10, Yolo County, California",5246,960,4286
1400000US06113010511,"Census Tract 105.11, Yolo County, California",3422,758,2664
1400000US06113010512,"Census Tract 105.12, Yolo County, California",4106,1193,2913
1400000US06113010513,"Census Tract 105.13, Yolo County, California",2907,684,2223
1400000US06113010602,"Census Tract 106.02, Yolo County, California",5635,950,4685
1400000US06113010605,"Census Tract 106.05, Yolo County, California",3259,433,2826
1400000US06113010606,"Census Tract 106.06, Yolo County, California",7702,1554,6148
1400000US06113010607,"Census Tract 106.07, Yolo County, California",4156,586,3570
1400000US06113010608,"Census Tract 106.08, Yolo County, California",6414,1710,4704
1400000US06113010701,"Census Tract 107.01, Yolo County, California",5140,1046,4094
1400000US06113010703,"Census Tract 107.03, Yolo County, California",5893,1052,4841
1400000US06113010704,"Census Tract 107.04, Yolo County, California",2652,588,2064
1400000US06113010800,"Census Tract 108, Yolo County, California",3516,479,3037
1400000US06113010901,"Census Tract 109.01, Yolo County, California",5415,629,4786
1400000US06113010902,"Census Tract 109.02, Yolo County, California",5977,659,5318
1400000US06113011001,"Census Tract 110.01, Yolo County, California",7397,945,6452
1400000US06113011002,"Census Tract 110.02, Yolo County, California",3701,624,3077
1400000US06113011101,"Census Tract 111.01, Yolo County, California",3155,338,2817
1400000US06113011102,"Census Tract 111.02, Yolo County, California",5182,664,4518
1400000US06113011103,"Census Tract 111.03, Yolo County, California",3069,353,2716
1400000US06113011203,"Census Tract 112.03, Yolo County, California",2886,633,2253
1400000US06113011204,"Census Tract 112.04, Yolo County, California",5588,574,5014
1400000US06113011205,"Census Tract 112.05, Yolo County, California",8144,1126,7018
1400000US06113011206,"Census Tract 112.06, Yolo County, California",8699,866,7833
1400000US06113011300,"Census Tract 113, Yolo County, California",9093,1093,8000
1400000US06113011400,"Census Tract 114, Yolo County, California",4076,416,3660
1400000US06113011500,"Census Tract 115, Yolo County, California",5722,1109,4613
